GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Comprobante,ComprobanteFactory,3,17,0,2,1,3,1,2,1,1
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Comprobante,Boleta,0,32,0,0,0,13,0,7,0,7
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Comprobante,BoletaBuilder,0,38,0,0,0,10,0,5,0,5
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository,TransaccionPuntosRepository,369,0,26,0,104,0,17,0,4,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository,ProveedorRepository,721,3,60,0,185,1,44,1,14,1
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository,ProveedorRepository.HistorialCambioDTO,18,0,0,0,7,0,1,0,1,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Cliente,ClienteHistorialCambio,0,80,0,0,0,25,0,18,0,18
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Cliente,Cliente,71,384,39,43,14,102,34,54,0,47
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Cliente,ClienteExportAudit,0,45,0,0,0,13,0,13,0,13
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.strategy.Proveedor,FiltroPorRazonSocial,0,36,2,6,0,6,2,5,0,3
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.strategy.Proveedor,FiltroPorContacto,0,36,2,6,0,6,2,5,0,3
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.strategy.Proveedor,FiltroPorTipoProducto,0,36,2,6,0,6,2,5,0,3
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.strategy.Proveedor,FiltroPorRuc,0,34,2,6,0,6,2,5,0,3
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.events,SystemEvent.EventType,117,0,0,0,20,0,1,0,1,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.events,SystemEventManager,240,36,17,3,57,12,24,4,15,3
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.events,SystemEvent,60,0,0,0,15,0,8,0,8,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,CategoriaProducto,9,95,0,0,3,16,3,2,3,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,AjusteStockCommand,23,0,0,0,6,0,3,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,Producto,394,80,54,0,112,27,79,11,52,11
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,InventarioCommand,45,0,0,0,16,0,8,0,8,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,InventarioAuditoria,46,0,4,0,11,0,7,0,5,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.model.Inventario,FormaFarmaceutica,6,81,0,0,2,14,2,2,2,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ExportadorExcelReporte,20,455,8,22,1,96,8,9,0,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ExportadorReporteFactory,3,52,0,12,1,11,1,8,1,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ExportadorExcelReporteProducto,1,263,0,8,1,67,0,6,0,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ExportadorPDFReporteProducto,1,161,0,4,1,37,0,4,0,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ExportadorPDFReporte,1,247,0,6,1,52,0,5,0,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.reportes.export,ReporteTipo,0,33,0,0,0,6,0,1,0,1
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClienteDetallesController,715,0,48,0,170,0,45,0,21,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ExportarClientesController,297,0,16,0,61,0,23,0,15,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClienteFormController,1195,0,160,0,258,0,111,0,31,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new ListCell() {...},26,0,6,0,6,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new TableCell() {...},305,0,2,0,54,0,6,0,5,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new StringConverter() {...},29,0,6,0,9,0,6,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new ListCell() {...},26,0,6,0,6,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new StringConverter() {...},15,0,0,0,5,0,3,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController.new TableCell() {...},72,0,6,0,16,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Cliente,ClientesController,2040,0,201,0,498,0,154,0,52,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Usuario,UsuarioRepository,936,10,104,0,233,4,70,2,18,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Usuario,UsuarioHistorialAccesoRepository,185,10,2,0,40,4,3,2,2,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Usuario,UsuarioHistorialCambioRepository,216,10,10,0,45,4,7,2,2,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Usuario,UsuarioPermisoRepository,141,6,4,0,39,3,4,1,2,1
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Usuario,UsuarioAlertaRepository,118,6,2,0,33,3,3,1,2,1
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Inventario,ProductoRepository.ProductoRepositoryException,15,0,0,0,6,0,2,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Inventario,ProductoRepository,1554,7,128,0,360,2,86,2,22,2
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Inventario,ProductoHistorialCambioRepository.HistorialCambioDTO,18,0,0,0,7,0,1,0,1,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Inventario,ProductoHistorialCambioRepository,136,0,10,0,42,0,8,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Ventas,VentaHistorialCambioRepositoryJdbcImpl,207,0,16,0,54,0,14,0,6,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Ventas,ComprobanteRepositoryJdbcImpl,383,0,20,0,106,0,19,0,9,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Ventas,DetalleVentaRepositoryJdbcImpl,341,0,20,0,86,0,18,0,8,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.repository.Ventas,VentaRepositoryJdbcImpl,766,79,58,0,177,26,31,7,2,7
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new StringConverter() {...},29,0,6,0,9,0,6,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new ListCell() {...},26,0,6,0,6,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new StringConverter() {...},15,0,0,0,5,0,3,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new TableCell() {...},486,0,46,0,87,0,29,0,6,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new ListCell() {...},26,0,6,0,6,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController.new TableRow() {...},53,0,6,0,9,0,5,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ContactarProveedoresController,226,0,10,0,56,0,12,0,7,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ExportarProveedoresController,247,0,16,0,53,0,17,0,9,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedorDetallesController,567,0,74,0,117,0,54,0,17,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedorFormController,688,0,76,0,143,0,55,0,17,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Proveedor,ProveedoresController,2590,0,266,0,571,0,200,0,64,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new TableCell() {...},81,0,12,0,15,0,9,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new TableRow() {...},35,0,6,0,11,0,6,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new TableCell() {...},97,0,2,0,21,0,4,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new TableCell() {...},95,0,2,0,20,0,4,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new ListCell() {...},42,0,8,0,9,0,6,0,2,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new ListCell() {...},125,0,8,0,32,0,7,0,3,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new DecimalFormatSymbols() {...},12,0,0,0,4,0,1,0,1,0
proyectopharmavictoria,com.farmaciavictoria.proyectopharmavictoria.controller.Ventas,VentasController.new ListCell() {...},42,0,8,0,9,0,6,0,2,0
